ID, pX, pY, pZ, vX, vY, vZ, aX, aY, aZ, m, fX, fY, fZ
110, 5.88224, 9.4337, 2.29626, -1.24391, 2.14156, 1.15659, -2487.82, 4283.12, 2313.18, 1, 2487.82, -4292.93, -2313.18
111, 5.53667, 2.27318, 0.455217, 0.300873, -0.821133, -3.16722, 601.745, -1642.27, -6334.45, 1, -601.745, 1632.46, 6334.45
112, 5.22755, 9.50773, 5.99722, 0.114337, 0.385671, -0.761529, 228.674, 771.341, -1523.06, 1, -228.674, -781.151, 1523.06
113, 1.96017, 1.62018, 5.77265, -784.94, -258.924, 277.977, -1.56988e+06, -517848, 555955, 1, 1.56988e+06, 517838, -555955
114, 4.70511, 3.11905, 0.333009, 0.440468, -25.5475, 11.3898, 880.937, -51095, 22779.5, 1, -880.937, 51085.2, -22779.5
115, 7.29426, 6.61949, 6.12664, -11.2285, 22.9501, 11.6608, -22457, 45900.3, 23321.6, 1, 22457, -45910.1, -23321.6
116, 6.03617, 7.12127, 9.42438, -151.623, 64.1418, 29.4777, -303246, 128284, 58955.3, 1, 303246, -128293, -58955.3
117, 1.00374, 1.83465, 5.07672, 0.0714049, 0.0899187, -0.165728, 142.81, 179.837, -331.457, 1, -142.81, -189.647, 331.457
118, 6.18899, 8.41685, 4.35811, -475.478, 1439.11, -1306.34, -950956, 2.87821e+06, -2.61267e+06, 1, 950956, -2.87822e+06, 2.61267e+06
119, 3.62562, 2.26981, 4.32201, -10.6206, -28.1257, -35.3439, -21241.3, -56251.5, -70687.7, 1, 21241.3, 56241.7, 70687.7
120, 9.37652, 2.06613, 9.73185, 0.762844, -3.53391, 0.0719079, 1525.69, -7067.82, 143.816, 1, -1525.69, 7058.01, -143.816
121, 5.52442, 4.97375, 0.89273, 64.6458, 60.1441, -29.0898, 129292, 120288, -58179.6, 1, -129292, -120298, 58179.6
122, 9.67148, 8.62645, 3.97668, 0.195545, -2.07346, 0.805109, 391.091, -4146.92, 1610.22, 1, -391.091, 4137.11, -1610.22
123, 5.84734, 5.72025, 2.15571, -2.6012, -0.331296, -1.03062, -5202.4, -662.593, -2061.24, 1, 5202.4, 652.783, 2061.24
124, 1.90382, 6.75431, 8.56785, -0.840426, -1.33817, 0.689642, -1680.85, -2676.34, 1379.28, 1, 1680.85, 2666.53, -1379.28
125, 2.43723, 4.77216, 6.79176, -0.718778, 5.75303, -1.31865, -1437.56, 11506.1, -2637.31, 1, 1437.56, -11515.9, 2637.31
126, 5.8951, 1.71192, 6.0089, 1.71303, -8.7836, -0.269187, 3426.06, -17567.2, -538.374, 1, -3426.06, 17557.4, 538.374
127, 2.55439, 0.401301, 3.40742, -0.0216027, -0.112347, 0.516764, -43.2054, -224.694, 1033.53, 1, 43.2054, 214.884, -1033.53
128, 8.68373, 1.93103, 8.02851, 2.22959, 4.92367, 2.57445, 4459.18, 9847.34, 5148.9, 1, -4459.18, -9857.15, -5148.9
129, 9.01267, 9.42037, 1.98706, 0.264515, -1.36186, 0.165063, 529.031, -2723.71, 330.126, 1, -529.031, 2713.9, -330.126
130, 4.98732, 1.70188, 9.76777, 0.762849, -1.0344, 0.0680993, 1525.7, -2068.8, 136.199, 1, -1525.7, 2058.99, -136.199
131, 7.34284, 3.7098, 0.456884, 169748, 57483.6, 84911.1, 3.39495e+08, 1.14967e+08, 1.69822e+08, 1, -3.39495e+08, -1.14967e+08, -1.69822e+08
132, 6.92868, 1.24165, 0.966168, -66.8263, 49.2029, 10.4435, -133653, 98405.7, 20887, 1, 133653, -98415.5, -20887
